id,name,building,floor,accessible
1,"Kennedy, Phillips and White",Main,1,False
2,"Hawkins, Nielsen and White",Science,2,True
3,Hood Inc,Engineering,4,False
4,Torres-Brown,Recreation,5,True
5,Snyder Ltd,Engineering,4,False
6,Bass and Sons,Engineering,1,True
7,Hancock-Blair,Arts,5,False
8,Shannon-Wells,Commons,5,True
9,"Zuniga, Booth and Perez",Main,1,True
10,"Morales, Walters and Thornton",Main,5,False
11,Parks-Murray,Arts,1,False
12,Williams Group,Commons,2,False
13,"Davis, Ray and Boyle",Commons,5,False
14,"Peck, Thomas and Brown",Main,5,True
15,Cooper Inc,Recreation,3,False
16,"Schmitt, Ford and Bradford",Arts,2,False
17,"Raymond, Smith and Boone",Arts,3,False
18,"Watkins, Bradley and Lawrence",Arts,3,False
19,"Summers, Phillips and Frye",Engineering,5,False
20,Ortega Inc,Recreation,3,True
21,"Clark, Jenkins and Rodriguez",Science,4,False
22,"Wright, Abbott and Sanchez",Recreation,5,False
23,Scott-Meadows,Recreation,1,True
24,"Farrell, Cook and Salazar",Commons,4,False
25,"Fletcher, Armstrong and Weaver",Commons,1,True
26,"King, Johnson and Castillo",Recreation,4,True
27,"Haley, Weber and Allen",Engineering,3,True
28,Ortiz Ltd,Science,1,False
29,"Davidson, Gray and Baker",Science,2,False
30,Richardson-Austin,Recreation,3,False
31,Barry-Kennedy,Science,4,True
32,Gibbs-Thompson,Main,1,False
33,Archer-Lawrence,Science,1,True
34,Mcclure-Horton,Science,1,True
35,Long-Burton,Arts,3,True
36,"Arnold, Owens and Lopez",Commons,4,True
37,"Diaz, Fletcher and Garcia",Arts,1,False
38,Rogers-Mitchell,Arts,1,True
39,Dalton-Cox,Science,1,True
40,"White, Moore and Pollard",Engineering,1,True
41,Smith and Sons,Science,4,False
42,Gardner Group,Engineering,3,False
43,"Davis, Alexander and Luna",Science,5,True
44,Warren-Skinner,Arts,2,True
45,Martin Group,Arts,1,False
46,"Lopez, Meyer and Carter",Main,1,True
47,Camacho-Nguyen,Arts,2,False
48,Richardson LLC,Arts,1,False
49,Smith-Taylor,Arts,2,True
50,Hernandez and Sons,Main,2,False
51,Davidson-Harrison,Engineering,5,False
52,Payne-Lee,Commons,2,True
53,"Durham, Mills and Flores",Engineering,2,False
54,Jimenez Ltd,Engineering,1,False
55,Boyd-Terry,Main,1,True
56,Johnson Ltd,Arts,1,True
57,"Haynes, Ochoa and Gomez",Engineering,3,True
58,Arnold-Jimenez,Recreation,3,True
59,"Powell, Williams and Galloway",Main,1,True
60,"Martinez, Shaw and Huber",Engineering,4,False
61,Ayala-Jenkins,Engineering,2,False
62,"Carter, Stokes and Mccullough",Arts,1,True
63,"Sims, Kim and Owens",Engineering,5,False
64,"Thompson, Alvarado and Jenkins",Science,4,False
65,Brown PLC,Engineering,5,False
66,Smith Group,Recreation,2,True
67,Lee Inc,Recreation,3,True
68,Donovan-Miller,Arts,3,True
69,"Wise, Kline and Grant",Science,3,True
70,Lynch-Owens,Commons,2,False
71,Carr-Cameron,Engineering,3,True
72,Flowers LLC,Science,1,False
73,Collier-Hinton,Science,2,True
74,Willis-Banks,Arts,3,True
75,Contreras PLC,Recreation,5,False
76,Oneill-Bush,Engineering,2,True
77,Pope-Carlson,Main,2,False
78,"Roth, Jones and Pearson",Recreation,3,False
79,Walker-Scott,Recreation,1,True
80,Moore Ltd,Commons,5,True
81,"Sanchez, Lopez and Stone",Arts,2,True
82,Smith LLC,Science,3,False
83,Nguyen Group,Science,4,False
84,"Smith, Petty and Brady",Main,2,False
85,Rivera Group,Arts,1,True
86,"Brown, Rodriguez and Copeland",Recreation,5,True
87,Sims-Orozco,Science,3,False
88,Lopez Group,Main,4,False
89,Thomas and Sons,Arts,4,True
90,Lee-Rogers,Commons,3,True
91,Baker-Leon,Arts,3,True
92,Compton LLC,Arts,3,False
93,Simmons PLC,Commons,4,False
94,Warren and Sons,Main,5,True
95,"Jones, Frazier and Bird",Arts,4,True
96,Williams-Hubbard,Science,1,False
97,"Gordon, Smith and Acevedo",Main,1,False
98,"Lee, Simpson and Holmes",Commons,2,True
99,Ingram-Foster,Engineering,5,True
100,Castro LLC,Recreation,5,True
101,"Clark, Stone and Hill",Commons,5,True
102,Perry Group,Science,5,True
103,Cannon LLC,Commons,3,True
104,Torres Ltd,Engineering,5,False
105,Taylor-Herman,Arts,2,False
106,Wilson and Sons,Arts,2,True
